Fecha1,FECHA,TOTAL_LUGARES_DE_RESIDENCIA,TOTAL_RESIDENTES_EN_EL_EXTRANJE,Alemania,Austria,Bélgica,Francia,Holanda,Irlanda,Italia,Reino_Unido,Dinamarca,Finlandia,Noruega,Polonia,Suecia,Suiza,Otros_países,TOTAL_RESIDENTES_EN_ESPAÑA,Noroeste,Noreste,Madrid,Centro,Este,Sur,FID
,,13775,,6767,80,415,402,1384,,85,2006,,,239,,,86,95,2216,131,339,1157,57,291,240,1
,,11277,,4579,,283,387,1569,,129,1610,,,,,,54,11,2654,121,309,1085,486,480,174,2
,,9938,,3007,,205,314,988,,22,827,,3,,,,72,98,4402,357,984,1882,763,348,69,3
,,18458,,3682,,502,1214,1172,,,883,,0,,37,,,938,10031,257,1339,5981,1073,893,488,4
,,12417,,2793,398,372,136,1281,10,,715,,,,77,71,1,316,6247,,561,4061,771,504,352,5
,,8941,,2395,,262,198,813,10,,706,,,,,,,60,4497,47,1021,1634,283,739,773,6
,,10721,,2493,,290,84,868,,1518,944,,,,,,,70,4454,129,1447,1274,230,1374,,7
,,12224,,5540,,380,124,1180,,,1465,,,,,,,42,3493,367,1340,931,212,633,10,8
,,14170,,6904,51,446,,2285,,221,1651,,89,,,,,194,2329,226,431,849,89,700,33,9
,,12714,,7245,,326,,1996,,122,1738,,,,,,147,,1140,42,138,536,42,203,179,10
,,14624,,7398,924,537,,1679,25,123,1861,,186,159,,8,20,61,1643,64,337,774,105,172,192,11
,,13887,,7898,101,388,,1760,,133,1143,,,,,168,53,44,2198,70,234,1340,245,235,75,12
,,13623,,7407,315,619,,1535,39,98,1451,,,,,36,73,134,1916,98,126,1219,280,131,62,13
,,11390,,4929,344,408,194,1198,,76,1275,,,,,,212,176,2578,128,216,1116,136,626,355,14
,,10760,,4031,182,178,170,1304,,,819,,,,7,,121,150,3798,355,549,1054,675,540,625,15
,,16671,,3245,398,357,1123,1336,,169,1270,542,,22,29,,18,369,7794,388,526,4156,837,1191,695,16
,,13271,,4620,721,398,210,1266,,,714,124,,,103,,52,635,4427,262,295,2429,738,479,223,17
,,8107,,2364,132,197,,768,,65,713,,,23,,,,229,3617,82,447,1817,257,696,319,18
,,10367,,3182,,230,,984,,,888,,,,95,,,115,4873,178,1146,2114,385,828,221,19
,,9437,,2729,,275,63,1309,,38,1140,,,,3,,,32,3849,242,797,654,1582,214,359,20
,,15150,,7007,146,637,40,2019,,73,1861,,,,,87,,61,3218,120,519,1875,450,,253,21
,,14361,,5994,,,,2036,,38,1494,186,,,,118,148,14,4332,475,19,2350,846,616,26,22
,,11886,,7018,,,14,1293,,91,1366,,,,,52,,16,2036,16,24,586,,1377,33,23
,,12013,,7071,11,,,1832,,52,1218,88,,,,116,14,37,1574,,124,496,247,707,,24
,,10349,,4758,16,,,1312,,90,1508,44,,19,,84,,93,2426,,534,1030,569,294,,25
,,13955,,5755,33,,,1427,,416,1413,,,,,,671,78,4163,170,921,2021,170,881,,26
,,10846,,5121,4,,,1054,,,1357,,,,,,,263,3046,198,178,1697,156,530,288,27
,,19616,,6609,51,,15,1166,,,1850,766,,,36,23,12,224,8863,633,389,5268,566,1441,566,28
,,16742,,6392,482,48,,1234,,,1474,165,19,,117,,43,502,6265,868,353,3400,1347,297,,29
,,10358,,3917,,39,2,623,,,1812,,,,,,,420,3545,89,159,1051,547,587,1111,30
,,10196,,4624,18,57,7,728,,,1244,,,,,,,309,3209,289,482,1255,12,121,1051,31
,,11202,,5405,71,51,,1625,25,,1271,,115,,,67,21,86,2465,64,322,1207,304,,566,32
,,16191,,8718,178,,764,2003,,89,1778,,,,,,,44,2617,241,201,1314,665,196,,33
,,17060,,9690,,,4,2015,97,68,1521,,,,,43,,31,3592,541,,1365,920,712,54,34
,,16461,,8150,,19,36,2016,,,1368,,,,,69,73,1018,3713,553,,1504,738,864,54,35
,,14050,,8019,28,9,,1499,201,,1450,,,,,163,,27,2654,524,,1266,526,338,,36
,,15789,,9454,,,,1363,72,,1370,,,14,,,133,265,3118,301,201,1671,403,542,,37
,,11561,,5035,,,212,1297,23,,659,,,,33,,,293,4010,,297,2500,594,619,,38
,,13464,,4832,,16,384,1226,,,573,,,,,,,149,6284,469,455,1841,1041,614,1864,39
,,18900,,5228,48,,761,739,,50,744,883,,,,21,,1657,8768,917,1260,3323,1114,832,1322,40
,,14393,,4594,,,,1082,58,,601,,,,,,46,234,7778,199,521,2117,1145,1021,2774,41
,,9285,,3640,,68,4,456,,48,579,51,,,2,,2,18,4417,104,457,1145,689,647,1375,42
,,9771,,3773,19,141,7,687,,44,747,,,,,,3,80,4271,267,374,1593,778,559,701,43
,,13638,,5606,12,171,,1703,31,277,1295,,16,,,,36,20,4471,479,287,2142,670,763,131,44
,,14839,,8488,,428,,2134,,19,317,,,,,,,97,3356,334,41,1646,459,821,55,45
,,12306,,7060,54,83,3,1977,103,51,258,,68,,,146,,61,2443,27,18,1827,134,424,13,46
,,14207,,5994,,221,57,1651,37,,1533,,,,,18,95,767,3833,,113,3291,166,237,25,47
,,13384,,6025,,351,6,1562,154,,1073,,,64,,228,,62,3859,,668,2896,295,,,48
,,13382,,6613,27,332,29,1455,44,36,1316,41,,39,,59,114,176,3101,288,553,1187,384,240,450,49
,,9469,,4705,18,334,,1236,,16,64,,29,,,,,94,2973,386,349,1338,372,443,84,50
,,9593,,4562,,176,4,942,,17,67,,,,,806,29,,2989,286,428,1192,381,249,453,51
,,13046,,5042,30,279,10,847,,19,114,40,,16,,3,15,152,6478,615,922,2623,820,512,985,52
,,10797,,5076,19,427,8,1092,46,22,87,5,,25,,3,31,56,3903,305,458,1755,407,331,646,53
,,9215,,3978,,352,216,426,2,,1911,,,,29,2,57,4,2239,307,1111,489,118,83,130,54
,,6601,,3270,25,273,15,922,146,17,73,15,,,2,,15,535,1295,,299,224,149,325,299,55
,,9819,,5063,10,332,109,1008,52,224,318,82,27,102,3,12,375,32,2072,,426,735,116,451,344,56
,,13959,,8063,2,354,63,2155,118,27,642,45,112,,17,15,379,233,1734,103,374,690,51,296,220,57
,,11834,,7565,217,414,33,1467,187,51,313,43,63,14,,13,93,308,1055,93,112,392,37,272,148,58
,,15650,,8789,77,787,73,1860,220,6,1484,76,51,87,54,464,499,213,911,240,,274,,177,221,59
,,14553,,6857,113,120,133,1685,329,15,1650,260,67,,59,340,280,346,2299,328,501,517,148,210,594,60
,,14032,,8402,168,163,319,505,260,42,1619,153,,232,13,52,117,317,1669,485,18,252,346,441,128,61
,,7774,,5685,17,191,32,27,62,,487,3,,,68,,,2,1200,450,82,275,38,151,204,62
,,9762,,5242,,133,,124,,,304,,,,,,228,76,3654,1716,53,999,424,340,122,63
